year_month,total_fatal_injuries,total_minor_injuries,total_serious_injuries,total_uninjured
1974-08,3.0,0.0,0.0,0.0
1977-06,2.0,0.0,0.0,0.0
1979-08,1.0,0.0,2.0,0.0
1981-08,4.0,0.0,0.0,0.0
1982-01,182.0,36.0,19.0,183.0
1982-02,91.0,1.0,11.0,0.0
1982-03,88.0,2.0,9.0,1.0
1982-04,88.0,0.0,9.0,0.0
1982-05,123.0,5.0,9.0,1.0
1982-06,101.0,10.0,12.0,2.0
1982-07,276.0,1.0,24.0,12.0
1982-08,93.0,7.0,9.0,1.0
1982-09,110.0,2.0,17.0,5.0
1982-10,101.0,4.0,11.0,0.0
1982-11,126.0,2.0,7.0,3.0
1982-12,83.0,3.0,12.0,3.0
1983-01,95.0,3.0,7.0,45.0
1983-02,67.0,2.0,6.0,0.0
1983-03,84.0,1.0,8.0,0.0
1983-04,74.0,5.0,5.0,5.0
1983-05,79.0,4.0,9.0,1.0
1983-06,126.0,13.0,16.0,11.0
1983-07,80.0,1.0,8.0,0.0
1983-08,116.0,4.0,14.0,13.0
1983-09,96.0,5.0,11.0,3.0
1983-10,81.0,4.0,1.0,34.0
1983-11,142.0,4.0,8.0,0.0
1983-12,84.0,2.0,11.0,84.0
1984-01,73.0,2.0,2.0,0.0
1984-02,74.0,1.0,7.0,0.0
1984-03,106.0,6.0,3.0,1.0
1984-04,72.0,0.0,4.0,0.0
1984-05,75.0,5.0,8.0,3.0
1984-06,75.0,3.0,7.0,1.0
1984-07,104.0,4.0,14.0,5.0
1984-08,148.0,0.0,11.0,2.0
1984-09,94.0,5.0,8.0,0.0
1984-10,85.0,3.0,9.0,0.0
1984-11,60.0,0.0,6.0,3.0
1984-12,114.0,2.0,8.0,0.0
1985-01,128.0,4.0,5.0,0.0
1985-02,88.0,1.0,1.0,1.0
1985-03,60.0,2.0,13.0,4.0
1985-04,111.0,0.0,7.0,12.0
1985-05,78.0,3.0,11.0,8.0
1985-06,69.0,11.0,15.0,1.0
1985-07,77.0,4.0,6.0,1.0
1985-08,245.0,14.0,19.0,6.0
1985-09,130.0,5.0,15.0,0.0
1985-10,92.0,2.0,0.0,0.0
1985-11,107.0,4.0,10.0,0.0
1985-12,82.0,62.0,20.0,4.0
1986-01,73.0,0.0,10.0,0.0
1986-02,43.0,0.0,10.0,0.0
1986-03,70.0,1.0,13.0,5.0
1986-04,67.0,3.0,1.0,0.0
1986-05,91.0,5.0,10.0,3.0
1986-06,87.0,2.0,2.0,0.0
1986-07,81.0,0.0,12.0,4.0
1986-08,267.0,19.0,20.0,2.0
1986-09,58.0,2.0,2.0,0.0
1986-10,58.0,0.0,7.0,5.0
1986-11,74.0,4.0,9.0,42.0
1986-12,76.0,2.0,4.0,6.0
1987-01,83.0,3.0,8.0,0.0
1987-02,46.0,0.0,1.0,1.0
1987-03,60.0,6.0,13.0,0.0
1987-04,71.0,1.0,6.0,0.0
1987-05,70.0,0.0,1.0,7.0
1987-06,68.0,1.0,8.0,0.0
1987-07,82.0,1.0,2.0,1.0
1987-08,239.0,9.0,12.0,340.0
1987-09,89.0,0.0,12.0,1.0
1987-10,76.0,0.0,8.0,0.0
1987-11,130.0,25.0,34.0,1.0
1987-12,113.0,4.0,11.0,1.0
1988-01,67.0,10.0,7.0,3.0
1988-02,81.0,2.0,2.0,4.0
1988-03,42.0,0.0,5.0,4.0
1988-04,80.0,65.0,14.0,30.0
1988-05,83.0,0.0,6.0,4.0
1988-06,51.0,0.0,6.0,2.0
1988-07,85.0,2.0,13.0,9.0
1988-08,81.0,51.0,34.0,21.0
1988-09,75.0,2.0,14.0,2.0
1988-10,72.0,0.0,9.0,0.0
1988-11,76.0,0.0,6.0,0.0
1988-12,44.0,0.0,4.0,0.0
1989-01,53.0,0.0,9.0,0.0
1989-02,60.0,34.0,6.0,313.0
1989-03,86.0,1.0,1.0,0.0
1989-04,45.0,0.0,3.0,0.0
1989-05,69.0,4.0,6.0,0.0
1989-06,86.0,2.0,7.0,5.0
1989-07,209.0,131.0,62.0,13.0
1989-08,92.0,0.0,8.0,0.0
1989-09,92.0,23.0,17.0,42.0
1989-10,86.0,0.0,4.0,107.0
1989-11,61.0,0.0,4.0,0.0
1989-12,45.0,1.0,2.0,55.0
1990-01,119.0,6.0,89.0,320.0
1990-02,50.0,3.0,4.0,4.0
1990-03,57.0,3.0,4.0,41.0
1990-04,68.0,2.0,8.0,14.0
1990-05,65.0,2.0,5.0,6.0
1990-06,70.0,1.0,5.0,0.0
1990-07,79.0,1.0,11.0,5.0
1990-08,107.0,8.0,7.0,0.0
1990-09,102.0,3.0,24.0,0.0
1990-10,53.0,23.0,8.0,72.0
1990-11,71.0,0.0,4.0,1.0
1990-12,41.0,54.0,21.0,312.0
